n,k,tau,method,size,time
20,2,2,ACTS,191,101.1318
20,2,2,Baseline,190,0.1875
20,2,2,LV-CIT,190,9.035482044
20,3,2,ACTS,91,17.5964
20,3,2,Baseline,190,0.25
20,3,2,LV-CIT,99.8,7.739407712
20,4,2,ACTS,58,6.1758
20,4,2,Baseline,190,0.19375
20,4,2,LV-CIT,67.4,3.283101653
20,5,2,ACTS,37,1.5956
20,5,2,Baseline,190,0.20625
20,5,2,LV-CIT,48.6,1.563441335
20,6,2,ACTS,26,1.004
20,6,2,Baseline,190,0.265625
20,6,2,LV-CIT,39,0.69457649
80,2,2,Baseline,3160,6.25625
80,2,2,LV-CIT,3160,2043.394429
80,3,2,Baseline,3160,5.9125
80,3,2,LV-CIT,1672,1599.208482
80,4,2,Baseline,3160,5.91875
80,4,2,LV-CIT,1135.8,571.5138587
80,5,2,Baseline,3160,5.81875
80,5,2,LV-CIT,851.2,301.6087521
80,6,2,Baseline,3160,5.96875
80,6,2,LV-CIT,652.4,169.8313957
